Category,Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Shopping/Apparel/Footwear/Athletic Shoes,18-24,Male,5289,4529,10241,0.332,5.56,00:03:45,285,22545.38,0.0278
Finance/Investing/Currencies & Foreign Exchange/Digital Currencies,18-24,Male,5162,4366,13261,0.329,4.77,00:02:28,265,24988.5,0.02
Law & Government/Government/Royalty,18-24,Male,5116,4269,9956,0.373,5.05,00:03:11,288,22818.32,0.0289
Shopping/Consumer Resources/Coupons & Discount Offers,18-24,Male,5067,4033,14225,0.309,4.51,00:02:36,272,25289.85,0.0191
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,18-24,Male,5056,4364,9525,0.362,5.06,00:03:27,266,22597.75,0.0279
News/Newspapers,18-24,Male,5030,4197,9441,0.317,5.84,00:03:49,358,35609.96,0.0379
Games/Computer & Video Games/Strategy Games,18-24,Male,4933,4508,9346,0.356,5.12,00:03:34,279,28136.41,0.0299
Sports/Motor Sports/Auto Racing,18-24,Male,4931,4253,9059,0.358,5.51,00:03:12,286,24016.08,0.0316
Computers & Electronics/Computer Hardware/Laptops & Notebooks,18-24,Male,4754,3863,13141,0.312,4.74,00:02:52,252,21678.92,0.0192
Science/Mathematics,18-24,Male,4722,4200,8497,0.325,5.9,00:04:08,273,24113.28,0.0321
Sports/Combat Sports/Martial Arts/Mixed Martial Arts/Ultimate Fighting Championship (UFC),18-24,Male,4692,4106,8781,0.415,4.72,00:03:05,229,18869.91,0.0261
Arts & Entertainment/Comics & Animation/Comics,18-24,Male,4639,4103,8477,0.402,4.8,00:03:02,232,19373.86,0.0274
Games/Computer & Video Games/Sports Games,18-24,Male,4546,4088,8617,0.344,5.78,00:03:39,353,29177.37,0.041
Arts & Entertainment/Music & Audio/Music Videos,18-24,Male,4520,3986,8750,0.337,5.44,00:03:53,280,25926.95,0.032
Arts & Entertainment/Music & Audio/Dance & Electronic Music,18-24,Male,4516,3952,8574,0.329,5.34,00:03:43,319,29465.94,0.0372
Computers & Electronics/Consumer Electronics/Game Systems & Consoles/Sony PlayStation,18-24,Male,4421,3961,7961,0.384,4.91,00:03:06,239,18110.14,0.03
Beauty & Fitness/Fitness/Bodybuilding,18-24,Male,4386,3785,8487,0.346,5.12,00:03:32,265,20473.25,0.0312
Finance/Accounting & Auditing/Tax Preparation & Planning,18-24,Male,4340,3702,8166,0.31,5.94,00:03:46,290,27755.28,0.0355
Sports/Team Sports/American Football,18-24,Male,4300,3785,7671,0.317,5.28,00:03:32,232,20080.29,0.0302
Pets & Animals/Pets/Dogs,18-24,Male,3933,3419,6918,0.391,4.9,00:03:09,196,15191.54,0.0283
Reference/General Reference/Calculators & Reference Tools,18-24,Male,3805,3292,7009,0.33,6,00:03:57,221,18174.62,0.0315
Beauty & Fitness/Hair Care,18-24,Male,3784,3230,7215,0.361,5.03,00:03:22,179,14990.51,0.0248
[Life Events] Purchasing a Home/Recently Purchased a Home,18-24,Male,3759,3104,7519,0.337,4.9,00:03:37,201,18093.6,0.0267
"Reference/General Reference/How-To, DIY & Expert Content",18-24,Male,3753,3308,6827,0.335,5.88,00:03:53,243,25101.71,0.0356
Shopping/Apparel/Clothing Accessories/Watches,18-24,Male,3747,3106,8031,0.319,5.77,00:03:49,205,18869.61,0.0255
Arts & Entertainment/Movies/Bollywood & South Asian Film,18-24,Male,3653,2875,11163,0.328,3.3,00:01:41,84,5386,0.0075
Games/Computer & Video Games/Adventure Games,18-24,Male,3589,3186,6814,0.382,4.83,00:03:20,183,14749.25,0.0269
Games/Computer & Video Games/Browser Games,18-24,Male,3575,3184,6428,0.342,5.81,00:04:05,213,16543.95,0.0331
